DATE,TOTAL
3-30-2016,245000000
3-30-2017,2196638752
3-30-2018,1165068022
3-31-2015,83740389
3-31-2016,7200000000
3-31-2017,581798359
3-4-2015,134486950
3-4-2016,116820526
3-4-2019,945900000
3-5-2019,37400000000
3-6-2015,163430987
3-6-2017,91034997
3-6-2019,704238806
3-7-2016,179859727
3-7-2017,1001978024
3-7-2019,4000000000
3-8-2016,387181200
3-8-2017,377500000
3-8-2019,128657500
3-9-2015,35000000
3-9-2016,47282674
3-9-2017,53052807
4-1-2015,61978016
4-1-2016,128846565
4-10-2015,480000000
4-10-2017,372918148
4-10-2018,260000000
4-11-2016,1038074689
4-11-2017,46239594
4-11-2018,248500000
4-12-2016,99000000
4-12-2017,202164280
4-12-2018,950000000
4-13-2015,486000000
4-13-2016,1012928257
4-13-2017,372529648
4-13-2018,277093609
4-14-2015,850000000
4-14-2016,308035700
4-14-2017,74999999
4-15-2015,321800000
4-15-2016,181765203
4-16-2018,51395435
4-17-2015,75000000
4-17-2017,133471473
4-17-2018,800000000
4-18-2016,109715382
4-18-2017,100000000
4-18-2018,928000000
4-19-2016,122500000
4-19-2017,231000000
4-19-2018,136529350
4-2-2015,5790000000
4-2-2018,311805780
4-20-2015,138041011
4-20-2016,15212144
4-20-2017,925000000
4-20-2018,870000000
4-21-2015,51414644
4-21-2016,443220679
4-21-2017,95550000
4-22-2015,96000000
4-22-2016,236457850
4-23-2015,31773194
4-23-2018,101770338
4-24-2015,469000000
4-24-2017,111328702
4-24-2018,127000000
4-25-2016,800000000
4-25-2017,109563735
4-25-2018,245000000
4-26-2016,147178362
4-26-2017,2351165436
4-26-2018,200000000
4-27-2015,3061852854
4-27-2016,29414546
4-27-2017,260100000
4-27-2018,828724214
4-28-2015,325000000
4-28-2016,200337000
4-28-2017,1377002000
4-29-2015,30364337
4-29-2016,235390812
4-3-2015,79490278
4-3-2017,59608722
4-3-2018,91575576
4-30-2015,63644013
4-30-2018,1421735530
4-4-2016,170173188
4-4-2017,43417281
4-4-2018,25500000000
4-5-2016,275000000
4-5-2017,129430321
4-5-2018,116883758
4-6-2015,225000000
4-6-2016,78810265
4-6-2017,3600000000
4-6-2018,218060000
4-7-2015,494999925
4-7-2016,922628257
4-7-2017,144939328
4-8-2015,8513221
4-8-2016,249000000
4-9-2015,1340391614
4-9-2018,57500000
5-1-2015,51908534
5-1-2017,327146998
5-1-2018,770000000
5-10-2016,99000000
5-10-2017,221577527
5-10-2018,242090000
5-11-2015,181000000
5-11-2016,76070200
5-11-2017,488076762
5-11-2018,91567663
5-12-2015,45000000
5-12-2016,173756967
5-12-2017,58582957
5-13-2015,240000000
5-13-2016,321847403
5-14-2015,1800000000
5-14-2018,45763241
5-15-2015,7910000000
5-15-2017,37400000000
5-15-2018,59582595
5-16-2016,19631293
5-16-2017,399979895
5-16-2018,391761379
5-17-2016,34590000
5-17-2017,244625032
5-17-2018,869374500
5-18-2015,6657720
5-18-2016,88117272
5-18-2017,195180206
5-18-2018,200000000
5-19-2015,30000000
5-19-2016,331760390
5-19-2017,208140481
5-2-2016,1271800000
5-2-2017,59588000
5-2-2018,145256274
5-20-2015,196000000
5-20-2016,102000000
5-21-2015,735514938
5-21-2018,125000000
5-22-2015,27283219
5-22-2017,1088305700
5-22-2018,2560000000
5-23-2016,269000000
5-23-2017,142061874
5-23-2018,282002333
5-24-2016,250000000
5-24-2017,79884066
5-24-2018,969000000
5-25-2016,302208932
5-25-2017,249000000
5-25-2018,841500000
5-26-2015,200000000
5-26-2016,74184286
5-26-2017,212032488
5-27-2015,99000000
5-27-2016,365848801
5-28-2015,478600000
5-29-2015,401000000
5-29-2018,296403688
5-3-2016,119316070
5-3-2017,301000000
5-3-2018,25160073
5-30-2017,98099229
5-30-2018,171215447
5-31-2016,3205563047
5-31-2017,243873277
5-31-2018,2016115217
5-4-2015,118148562
5-4-2016,400000000
5-4-2017,22469405
5-4-2018,653210000
5-5-2015,99000000
5-5-2016,427078399
5-5-2017,377500000
5-6-2015,59389738
5-6-2016,405500000
5-7-2015,99120000
5-7-2018,240000000
5-8-2015,2001101104
5-8-2017,332000000
5-8-2018,164693682
5-9-2016,649730000
5-9-2017,78695875
5-9-2018,550840000
6-1-2015,47600000
6-1-2016,1910525014
6-1-2017,413854079
6-1-2018,866000000
6-10-2015,1500000000
6-10-2016,152714386
6-11-2015,6128846850
6-11-2018,36451516
6-12-2015,737000000
6-12-2017,255000000
6-12-2018,60857149
6-13-2016,84726491
6-13-2017,80278296
6-13-2018,50000000
6-14-2016,55300000
6-14-2017,249000000
6-14-2018,7500000000
6-15-2015,145385706
6-15-2016,45000000
6-15-2017,471731858
6-15-2018,503228000
6-16-2015,478600000
6-16-2016,1700000000
6-16-2017,3013903706
6-17-2015,200000000
6-17-2016,616311000
6-18-2015,780396541
6-18-2018,495000000
6-19-2015,61812491
6-19-2017,492400000
6-19-2018,2400000000
6-2-2015,249000000
6-2-2016,62406998
6-2-2017,95000000
6-20-2016,245000000
6-20-2017,150000000
6-20-2018,68598360
6-21-2016,203559743
6-21-2017,498464967
6-21-2018,364637120
6-22-2015,870000000
6-22-2016,1700000000
6-22-2017,203073701
6-22-2018,1124545002
6-23-2015,121350000
6-23-2016,523386294
6-23-2017,584200000
6-24-2015,480000000
6-24-2016,357018057
6-25-2015,5000000000
6-25-2018,78356122
6-26-2015,80661914
6-26-2017,48879930
6-26-2018,403000000
6-27-2016,53519203
6-27-2017,475000000
6-27-2018,1504995240
6-28-2016,400000000
6-28-2017,257780849
6-28-2018,250784252
6-29-2015,42274735
6-29-2016,118526926
6-29-2017,191141581
6-29-2018,4191533822
6-3-2015,466500000
6-3-2016,99500000
6-30-2015,358938513
6-30-2016,950000000
6-30-2017,3767831006
6-4-2015,920350132
6-4-2018,75000000
6-5-2015,3352611760
6-5-2017,200000000
6-5-2018,970000000
6-6-2016,24873926
6-6-2017,105386981
6-6-2018,960000000
6-7-2016,667522500
6-7-2017,475000000
6-7-2018,96000000
6-8-2015,120000000
6-8-2016,64205540
6-8-2017,1730000000
6-8-2018,862249233
6-9-2015,48000000
6-9-2016,72967311
6-9-2017,498000000
7-1-2015,75000000
7-1-2016,291750539
7-10-2015,153947183
7-10-2017,30000000
7-10-2018,10000
7-11-2016,169694436
7-11-2017,409000000
7-11-2018,202500000
7-12-2016,510036942
7-12-2017,95000000
7-12-2018,1223529973
7-13-2015,55600000
7-13-2016,170000000
7-13-2017,98000000
7-13-2018,28000000000
7-14-2015,718299821
7-14-2016,99000000
7-14-2017,900000000
7-15-2015,55658342
7-15-2016,127300000
7-16-2015,245000000
7-16-2018,450744723
7-17-2015,6000000000
7-17-2017,98000000
7-17-2018,403000000
7-18-2016,148514169
7-18-2017,148728722
7-18-2018,264000000
7-19-2016,544668978
7-19-2017,409000000
7-19-2018,181253232
7-2-2015,12290494
7-2-2018,76500000
7-20-2015,950000000
7-20-2016,182067817
7-20-2017,300000000
7-20-2018,73223000
7-21-2015,95000000
7-21-2016,40517947263
7-21-2017,270000000
7-22-2015,115885628
7-22-2016,194802989
7-23-2015,1563679881
7-23-2018,192000000
7-24-2015,180360062
7-24-2017,119651946
7-24-2018,620000000
7-25-2016,1750000000
7-25-2017,230749372
7-25-2018,69415853
7-26-2016,132455000
7-26-2017,311814545
7-26-2018,227619456
7-27-2015,731987632
7-27-2016,41452945
7-27-2017,276641287
7-27-2018,980000000
7-28-2015,900000000
7-28-2016,200000000
7-28-2017,3693062124
7-29-2015,4336822777
7-29-2016,356213318
7-3-2017,100000000
7-3-2018,420000000
7-30-2015,104085696
7-30-2018,317458602
7-31-2015,501000000
7-31-2017,400000000
7-31-2018,630500000
7-5-2016,490000000
7-5-2017,50800000
7-5-2018,20000000
7-6-2015,372936476
7-6-2016,93862479
7-6-2017,461246563
7-6-2018,119630553
7-7-2015,49000000
7-7-2016,1509856423
7-7-2017,5577714486
7-8-2015,25000000
7-8-2016,142000000
7-9-2015,86000000
7-9-2018,118587653
8-1-2014,190000000
8-1-2016,640100000
8-1-2017,158500000
8-1-2018,3900000000
8-10-2015,88000000
8-10-2016,151664883
8-10-2017,32965603
8-10-2018,522498247
8-11-2014,491703924
8-11-2015,20900000000
8-11-2016,91293935
8-11-2017,8000000000
8-12-2014,36716648
8-12-2015,249000000
8-12-2016,768000000
8-13-2014,99000000
8-13-2015,853777308
8-13-2018,850000000
8-14-2014,295643284
8-14-2015,57889458
8-14-2017,49000000
8-14-2018,28000000000
8-15-2014,555000000
8-15-2016,370932862
8-15-2017,91499780
8-15-2018,92556056
8-16-2016,96700000
8-16-2017,115310691
8-16-2018,440337473
8-17-2015,315000000
8-17-2016,99400000
8-17-2017,499000000
8-17-2018,5781475
8-18-2014,49000000
8-18-2015,63500000
8-18-2016,2814816489
8-18-2017,53765867
8-19-2014,281250000
8-19-2015,994675676
8-19-2016,10020000000
8-2-2016,523972941
8-2-2017,161433900
8-2-2018,165510883
8-20-2014,2529500000
8-20-2015,490000000
8-20-2018,499267406
8-21-2014,116956672
8-21-2015,514305457
8-21-2017,427088637
8-21-2018,356300000
8-22-2014,49000000
8-22-2016,240000000
8-22-2017,768000000
8-22-2018,40601413
8-23-2016,155770425
8-23-2017,900000000
8-23-2018,949900000
8-24-2015,35123842
8-24-2016,45395007
8-24-2017,727689796
8-24-2018,243110727
8-25-2014,2500000000
8-25-2015,581113421
8-25-2016,379607248
8-25-2017,310582092
8-26-2014,224044944
8-26-2015,40000000
8-26-2016,28719228100
8-27-2014,160000000
8-27-2015,1489387310
8-27-2018,242813561
8-28-2014,524715094
8-28-2015,950000000
8-28-2017,614483341
8-28-2018,87386790
8-29-2014,410000000
8-29-2016,495000000
8-29-2017,2205926405
8-29-2018,490959400
8-3-2015,82153023
8-3-2016,85993015
8-3-2017,409000000
8-3-2018,250000000
8-30-2016,158431341
8-30-2017,119021912
8-30-2018,805318853
8-31-2015,430878490
8-31-2016,375582523
8-31-2017,303974406
8-31-2018,406761286
8-4-2014,89951041
8-4-2015,431322997
8-4-2016,287958605
8-4-2017,480000000
8-5-2014,238050000
8-5-2015,248200000
8-5-2016,60843705
8-6-2014,116717704
8-6-2015,1019313488
8-6-2018,49000000
8-7-2014,124600000
8-7-2015,200000000
